Ct,primary,contact,secondary,attack rate
<18,155,340,72,21
18,205,415,177,43
19,488,1001,357,36
20,998,2141,674,31
21,1710,3668,1149,31
22,2618,5710,1689,30
23,3371,7251,2056,28
24,3918,8511,2216,26
25,4407,9674,2360,24
26,4761,10353,2443,24
27,4865,10474,2361,23
28,4668,10287,2213,22
29,4481,9670,1965,20
30,4169,9204,1883,20
31,3875,8659,1599,18
32,3516,7734,1428,18
33,3273,7384,1282,17
34,3108,7051,1198,17
35,2801,6338,945,15
36,2596,5815,798,14
37,2511,5689,669,12
38,1163,2513,205,8
